year,municipio,state_fips,county_fips,geoid,unemployment_rate_pct,unemployment_rate_moe,emp_pop_ratio_pct,emp_pop_ratio_moe,labor_force_participation_pct,labor_force_participation_moe
2010,Adjuntas Municipio,72,001,72001,20.7,4.4,29.9,2.5,37.7,2.7
2010,Aguada Municipio,72,003,72003,25.6,2.6,35.0,1.6,47.0,1.7
2010,Aguadilla Municipio,72,005,72005,20.8,2.0,30.6,1.3,38.9,1.3
2010,Aguas Buenas Municipio,72,007,72007,4.1,1.4,33.6,2.2,35.2,2.1
2010,Aibonito Municipio,72,009,72009,14.4,2.5,33.7,1.7,39.4,1.8
2010,Arecibo Municipio,72,013,72013,15.8,1.5,33.0,1.1,39.3,1.0
2010,Arroyo Municipio,72,015,72015,27.0,4.2,31.2,2.5,42.8,2.9
2010,Añasco Municipio,72,011,72011,9.0,2.0,38.7,1.8,42.6,2.1
2010,Barceloneta Municipio,72,017,72017,17.0,3.3,34.0,2.6,41.0,2.5
2010,Barranquitas Municipio,72,019,72019,13.8,2.6,34.6,1.7,40.2,1.9
2010,Bayamón Municipio,72,021,72021,17.0,0.7,43.3,0.6,52.3,0.6
2010,Cabo Rojo Municipio,72,023,72023,9.7,1.9,36.8,1.9,40.9,1.9
2010,Caguas Municipio,72,025,72025,12.6,0.8,44.3,0.8,50.7,0.8
2010,Camuy Municipio,72,027,72027,20.2,3.3,35.0,2.2,43.8,2.0
2010,Canóvanas Municipio,72,029,72029,15.3,2.3,44.5,1.8,52.6,1.4
2010,Carolina Municipio,72,031,72031,11.4,0.7,47.6,0.7,53.8,0.7
2010,Cataño Municipio,72,033,72033,23.5,2.4,39.5,2.0,51.7,2.0
2010,Cayey Municipio,72,035,72035,14.0,2.0,41.7,1.8,48.6,1.8
2010,Ceiba Municipio,72,037,72037,11.7,3.3,40.7,2.9,47.1,2.4
2010,Ciales Municipio,72,039,72039,23.6,3.7,31.1,2.3,40.8,2.2
2010,Cidra Municipio,72,041,72041,14.3,1.8,44.5,1.6,51.9,1.5
2010,Coamo Municipio,72,043,72043,13.9,2.2,34.2,1.7,39.9,1.7
2010,Comerío Municipio,72,045,72045,10.1,2.5,31.8,2.4,35.4,2.5
2010,Corozal Municipio,72,047,72047,9.4,2.0,31.7,2.2,35.0,2.1
2010,Culebra Municipio,72,049,72049,7.1,5.9,53.2,6.1,57.3,6.0
2010,Dorado Municipio,72,051,72051,13.8,2.5,45.2,1.7,52.6,1.7
2010,Fajardo Municipio,72,053,72053,17.6,1.9,40.1,1.6,48.7,1.6
2010,Florida Municipio,72,054,72054,14.1,4.3,35.5,3.7,41.3,3.5
2010,Guayama Municipio,72,057,72057,22.1,2.8,38.4,2.0,49.3,2.1
2010,Guayanilla Municipio,72,059,72059,23.8,3.5,29.9,1.9,39.3,1.9
2010,Guaynabo Municipio,72,061,72061,13.2,1.1,50.6,1.2,58.6,0.9
2010,Gurabo Municipio,72,063,72063,11.6,1.7,46.8,2.3,53.0,2.2
2010,Guánica Municipio,72,055,72055,33.6,4.5,27.3,2.5,41.3,2.5
2010,Hatillo Municipio,72,065,72065,26.0,2.9,34.2,1.9,46.4,1.8
2010,Hormigueros Municipio,72,067,72067,9.3,2.7,39.9,2.3,44.0,2.1
2010,Humacao Municipio,72,069,72069,15.8,1.7,35.8,1.6,42.6,1.7
2010,Isabela Municipio,72,071,72071,17.0,2.1,30.6,1.4,37.1,1.6
2010,Jayuya Municipio,72,073,72073,26.9,4.4,36.8,2.7,50.3,2.7
2010,Juana Díaz Municipio,72,075,72075,22.2,2.1,38.9,1.6,50.1,1.5
2010,Juncos Municipio,72,077,72077,15.9,2.5,39.1,2.3,46.7,2.2
2010,Lajas Municipio,72,079,72079,14.2,3.1,28.8,2.1,33.7,2.0
2010,Lares Municipio,72,081,72081,25.0,2.9,31.7,1.9,42.2,1.8
