year,municipio,TotalEmployment
2012,Adjuntas,693
2013,Adjuntas,706
2014,Adjuntas,653
2015,Adjuntas,678
2016,Adjuntas,694
2017,Adjuntas,943
2018,Adjuntas,911
2019,Adjuntas,924
2020,Adjuntas,950
2021,Adjuntas,965
2022,Adjuntas,1114
2023,Adjuntas,1119
2012,Aguada,3199
2013,Aguada,3259
2014,Aguada,3167
2015,Aguada,2881
2016,Aguada,2798
2017,Aguada,2721
2018,Aguada,2700
2019,Aguada,2918
2020,Aguada,2945
2021,Aguada,2943
2022,Aguada,3403
2023,Aguada,3530
2012,Aguadilla,11212
2013,Aguadilla,11033
2014,Aguadilla,11652
2015,Aguadilla,11913
2016,Aguadilla,12519
2017,Aguadilla,13765
2018,Aguadilla,13158
2019,Aguadilla,13013
2020,Aguadilla,12975
2021,Aguadilla,13259
2022,Aguadilla,14275
2023,Aguadilla,14428
2012,Aguas Buenas,1036
2013,Aguas Buenas,995
2014,Aguas Buenas,1007
2015,Aguas Buenas,1058
2016,Aguas Buenas,1035
2017,Aguas Buenas,1023
2018,Aguas Buenas,929
2019,Aguas Buenas,1040
2020,Aguas Buenas,1018
2021,Aguas Buenas,964
2022,Aguas Buenas,1107
2023,Aguas Buenas,1109
2012,Aibonito,2728
2013,Aibonito,2961
2014,Aibonito,2802
2015,Aibonito,2904
2016,Aibonito,2905
2017,Aibonito,3464
2018,Aibonito,3274
2019,Aibonito,3456
2020,Aibonito,3461
2021,Aibonito,3492
2022,Aibonito,3551
2023,Aibonito,3621
2012,Arecibo,12699
2013,Arecibo,12932
2014,Arecibo,12789
2015,Arecibo,12419
2016,Arecibo,12797
2017,Arecibo,12351
2018,Arecibo,12591
2019,Arecibo,12883
2020,Arecibo,13025
2021,Arecibo,13107
2022,Arecibo,13634
2023,Arecibo,13975
2012,Arroyo,1943
2013,Arroyo,1675
2014,Arroyo,1448
2015,Arroyo,1502
2016,Arroyo,1434
2017,Arroyo,1423
2018,Arroyo,1418
2019,Arroyo,1695
2020,Arroyo,1662
2021,Arroyo,1681
2022,Arroyo,1786
2023,Arroyo,1950
2012,Añasco,4420
2013,Añasco,4509
2014,Añasco,4593
2015,Añasco,4853
2016,Añasco,4450
2017,Añasco,5362
2018,Añasco,4203
2019,Añasco,4472
2020,Añasco,4293
2021,Añasco,4242
2022,Añasco,5310
2023,Añasco,4885
2012,Barceloneta,7979
2013,Barceloneta,7745
2014,Barceloneta,7195
2015,Barceloneta,7187
2016,Barceloneta,7006
2017,Barceloneta,8924
2018,Barceloneta,8148
2019,Barceloneta,7442
2020,Barceloneta,7277
2021,Barceloneta,7068
2022,Barceloneta,7099
2023,Barceloneta,7437
2012,Barranquitas,1552
2013,Barranquitas,1555
2014,Barranquitas,1497
2015,Barranquitas,1618
2016,Barranquitas,1606
2017,Barranquitas,1628
2018,Barranquitas,1524
2019,Barranquitas,1708
2020,Barranquitas,1756
2021,Barranquitas,1748
2022,Barranquitas,2135
2023,Barranquitas,2123
2012,Bayamón,45279
2013,Bayamón,45266
2014,Bayamón,44837
2015,Bayamón,43768
2016,Bayamón,42655
2017,Bayamón,42902
2018,Bayamón,40991
2019,Bayamón,41764
2020,Bayamón,40689
2021,Bayamón,38938
2022,Bayamón,41102
2023,Bayamón,42507
2012,Cabo Rojo,4468
2013,Cabo Rojo,3942
2014,Cabo Rojo,4109
2015,Cabo Rojo,4903
2016,Cabo Rojo,4615
2017,Cabo Rojo,3925
2018,Cabo Rojo,3619
2019,Cabo Rojo,3889
