year,municipio,income,cpi,real_income
2010,Adjuntas Municipio,11983.0,218.0761666666667,16743.09524500996
2011,Adjuntas Municipio,12975.0,224.923,17577.288949996222
2012,Adjuntas Municipio,13095.0,229.58608333333333,17379.542368458016
2013,Adjuntas Municipio,11528.0,232.95174999999998,15078.786200718963
2014,Adjuntas Municipio,10550.0,236.715,13580.165846411648
2015,Adjuntas Municipio,10499.0,237.00175000000002,13498.166346169735
2016,Adjuntas Municipio,11296.0,240.00541666666666,14341.085774105793
2017,Adjuntas Municipio,11680.0,245.121,14519.13408751868
2018,Adjuntas Municipio,12902.0,251.0995,15656.316154884153
2019,Adjuntas Municipio,14012.0,255.65258333333335,16700.456250686555
2020,Adjuntas Municipio,14253.0,258.85575,16777.485095463402
2021,Adjuntas Municipio,15375.0,270.96791666666667,17289.22973660781
2022,Adjuntas Municipio,17659.0,292.6254166666667,18387.913601148222
2023,Adjuntas Municipio,18605.0,304.70416666666665,18605.0
2010,Aguada Municipio,14103.0,218.0761666666667,19705.23844115626
2011,Aguada Municipio,14935.0,224.923,20232.509477317424
2012,Aguada Municipio,15106.0,229.58608333333333,20048.519818092922
2013,Aguada Municipio,15665.0,232.95174999999998,20490.040408940193
2014,Aguada Municipio,16376.0,236.715,21079.506720458496
2015,Aguada Municipio,16029.0,237.00175000000002,20607.8777371897
2016,Aguada Municipio,15543.0,240.00541666666666,19732.958231845463
2017,Aguada Municipio,16199.0,245.121,20136.597010592046
2018,Aguada Municipio,16347.0,251.0995,19836.75400588213
2019,Aguada Municipio,16738.0,255.65258333333335,19949.488775620295
2020,Aguada Municipio,16802.0,258.85575,19777.96285511654
2021,Aguada Municipio,18733.0,270.96791666666667,21065.309961357663
2022,Aguada Municipio,20301.0,292.6254166666667,21138.967892684188
2023,Aguada Municipio,21694.0,304.70416666666665,21694.0
2010,Aguadilla Municipio,13956.0,218.0761666666667,19499.844549725363
2011,Aguadilla Municipio,14779.0,224.923,20021.175598612266
2012,Aguadilla Municipio,15302.0,229.58608333333333,20308.648898216463
2013,Aguadilla Municipio,15847.0,232.95174999999998,20728.098969707964
2014,Aguadilla Municipio,16767.0,236.715,21582.80954945821
2015,Aguadilla Municipio,17267.0,237.00175000000002,22199.527412069037
2016,Aguadilla Municipio,17191.0,240.00541666666666,21825.212955263163
2017,Aguadilla Municipio,16821.0,245.121,20909.79062381436
2018,Aguadilla Municipio,16693.0,251.0995,20256.618010655802
2019,Aguadilla Municipio,16269.0,255.65258333333335,19390.502622210934
2020,Aguadilla Municipio,16065.0,258.85575,18910.425739045782
2021,Aguadilla Municipio,16940.0,270.96791666666667,19049.07653581374
2022,Aguadilla Municipio,18348.0,292.6254166666667,19105.353573467783
2023,Aguadilla Municipio,19826.0,304.70416666666665,19826.0
2010,Aguas Buenas Municipio,14751.0,218.0761666666667,20610.648248280224
2011,Aguas Buenas Municipio,13792.0,224.923,18684.08240449695
2012,Aguas Buenas Municipio,13994.0,229.58608333333333,18572.685445147115
2013,Aguas Buenas Municipio,14902.0,232.95174999999998,19492.025673413773
2014,Aguas Buenas Municipio,15081.0,236.715,19412.55745305536
2015,Aguas Buenas Municipio,14824.0,237.00175000000002,19058.654911479203
2016,Aguas Buenas Municipio,15409.0,240.00541666666666,19562.835578363683
2017,Aguas Buenas Municipio,16733.0,245.121,20800.399887538533
2018,Aguas Buenas Municipio,17255.0,251.0995,20938.593648467373
2019,Aguas Buenas Municipio,19279.0,255.65258333333335,22978.025696330726
2020,Aguas Buenas Municipio,20190.0,258.85575,23766.043926008984
2021,Aguas Buenas Municipio,21844.0,270.96791666666667,24563.638007574697
2022,Aguas Buenas Municipio,23160.0,292.6254166666667,24115.979330799753
2023,Aguas Buenas Municipio,22361.0,304.70416666666665,22361.0
2010,Aibonito Municipio,15487.0,218.0761666666667,21639.014942791393
2011,Aibonito Municipio,15736.0,224.923,21317.627662207364
2012,Aibonito Municipio,16235.0,229.58608333333333,21546.916407171888
2013,Aibonito Municipio,16189.0,232.95174999999998,21175.439781700145
2014,Aibonito Municipio,16962.0,236.715,21833.81735420231
2015,Aibonito Municipio,17307.0,237.00175000000002,22250.953895910046
2016,Aibonito Municipio,18145.0,240.00541666666666,23036.384682290158
2017,Aibonito Municipio,18387.0,245.121,22856.44849890462
2018,Aibonito Municipio,19720.0,251.0995,23929.82131253414
2019,Aibonito Municipio,20521.0,255.65258333333335,24458.325914954243
2020,Aibonito Municipio,20631.0,258.85575,24285.15365217887
2021,Aibonito Municipio,21139.0,270.96791666666667,23770.863570871705
2022,Aibonito Municipio,22511.0,292.6254166666667,23440.19044540731
2023,Aibonito Municipio,21714.0,304.70416666666665,21714.0
2010,Arecibo Municipio,16564.0,218.0761666666667,23143.83957592798
2011,Arecibo Municipio,17089.0,224.923,23150.542648669398
2012,Arecibo Municipio,17077.0,229.58608333333333,22664.409700355674
2013,Arecibo Municipio,16977.0,232.95174999999998,22206.154868980382
2014,Arecibo Municipio,16997.0,236.715,21878.870037105098
2015,Arecibo Municipio,16485.0,237.00175000000002,21194.139652977243
2016,Arecibo Municipio,16796.0,240.00541666666666,21323.731999104188
2017,Arecibo Municipio,17289.0,245.121,21491.55044855398
2018,Arecibo Municipio,18001.0,251.0995,21843.84956627419
2019,Arecibo Municipio,18647.0,255.65258333333335,22224.76503757866
2020,Arecibo Municipio,19266.0,258.85575,22678.385452129227
2021,Arecibo Municipio,19311.0,270.96791666666667,21715.272549179408
2022,Arecibo Municipio,21799.0,292.6254166666667,22698.801098104657
2023,Arecibo Municipio,23175.0,304.70416666666665,23175.0
2010,Arroyo Municipio,14815.0,218.0761666666667,20700.071439107283
2011,Arroyo Municipio,15551.0,224.923,21067.00735733266
