Municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Change_2023_2024,Pct_Change_2023_2024,Cum_Change_2020_2024,Cum_Pct_Change_2020_2024
Puerto Rico,3724465.0,3693464.0,3661045.0,3631427.0,3585017.0,3535167.0,3480432.0,3410837.0,3290690.0,3302691.0,3281590.0,3262711.0,3220137.0,3203792.0,3203295.0,-497.0,-0.015512867252306018,-78295.0,-2.385886110086879
Adjuntas,19492.0,19394.0,19293.0,19275.0,19127.0,18979.0,18795.0,18503.0,17928.0,18056.0,18008.0,18026.0,17896.0,17887.0,17981.0,94.0,0.5255213283390171,-27.0,-0.1499333629498001
Aguada,41955.0,41745.0,41488.0,41263.0,40859.0,40445.0,39969.0,39260.0,38023.0,38248.0,38109.0,38004.0,37647.0,37509.0,37523.0,14.0,0.03732437548321736,-586.0,-1.5376945078590358
Aguadilla,60898.0,60640.0,60172.0,59766.0,59345.0,58608.0,57739.0,56765.0,54944.0,55162.0,55046.0,54613.0,53877.0,53592.0,53557.0,-35.0,-0.06530825496342738,-1489.0,-2.705010354975838
Aguas Buenas,28645.0,28283.0,27959.0,27647.0,27172.0,26700.0,26146.0,25515.0,24446.0,24444.0,24189.0,23974.0,23521.0,23260.0,23125.0,-135.0,-0.5803955288048152,-1064.0,-4.3986936210674275
Aibonito,25942.0,25877.0,25816.0,25767.0,25613.0,25470.0,25297.0,25030.0,24372.0,24626.0,24633.0,24674.0,24537.0,24586.0,24751.0,165.0,0.6711136419100301,118.0,0.4790321925871798
Añasco,29253.0,29038.0,28747.0,28470.0,28122.0,27704.0,27271.0,26645.0,25655.0,25748.0,25569.0,25414.0,25003.0,24796.0,24689.0,-107.0,-0.43152121309888686,-880.0,-3.4416676444131564
Arecibo,96382.0,95815.0,95286.0,95047.0,93972.0,93002.0,91825.0,90083.0,87399.0,87946.0,87638.0,87122.0,86023.0,85579.0,85971.0,392.0,0.4580562988583648,-1667.0,-1.9021429060453228
Arroyo,19541.0,19272.0,18955.0,18653.0,18274.0,17858.0,17420.0,16888.0,16103.0,16040.0,15820.0,15606.0,15273.0,15062.0,14944.0,-118.0,-0.7834284955517196,-876.0,-5.537294563843236
Barceloneta,24800.0,24683.0,24559.0,24475.0,24303.0,24037.0,23763.0,23364.0,22555.0,22721.0,22669.0,22630.0,22406.0,22354.0,22413.0,59.0,0.26393486624317797,-256.0,-1.1292955136971194
Barranquitas,30359.0,30364.0,30328.0,30322.0,30186.0,30028.0,29808.0,29466.0,28625.0,28967.0,28981.0,29076.0,28927.0,29006.0,29281.0,275.0,0.9480797076466938,300.0,1.035160967530451
Bayamón,208097.0,206718.0,205051.0,203345.0,200735.0,198224.0,195227.0,191556.0,185187.0,185846.0,184952.0,183983.0,181509.0,180751.0,181152.0,401.0,0.2218521612605186,-3800.0,-2.0545871361218047
Cabo Rojo,50965.0,50776.0,50600.0,50475.0,50074.0,49665.0,49214.0,48455.0,46936.0,47266.0,47122.0,47098.0,46695.0,46646.0,46820.0,174.0,0.373022338464177,-302.0,-0.640889605704342
Caguas,142951.0,141949.0,140898.0,139828.0,138127.0,136242.0,134338.0,131805.0,127254.0,127831.0,127069.0,126610.0,125085.0,124539.0,124628.0,89.0,0.07146355760043038,-2441.0,-1.9210035492527682
Camuy,35187.0,35090.0,34958.0,34874.0,34597.0,34318.0,33955.0,33505.0,32540.0,32845.0,32819.0,32883.0,32599.0,32603.0,32765.0,162.0,0.49688678955924304,-54.0,-0.16453883421188947
Canóvanas,47628.0,47377.0,47133.0,46804.0,46307.0,45699.0,44959.0,44034.0,42377.0,42552.0,42326.0,42140.0,41613.0,41488.0,41512.0,24.0,0.05784805244890089,-814.0,-1.9231677928460047
Carolina,176658.0,175013.0,173223.0,171546.0,169277.0,166770.0,164166.0,160905.0,155221.0,155634.0,154559.0,153508.0,151495.0,150777.0,150679.0,-98.0,-0.06499665068279645,-3880.0,-2.510368208904043
Cataño,28099.0,27678.0,27259.0,26878.0,26362.0,25784.0,25230.0,24532.0,23474.0,23382.0,23110.0,22810.0,22344.0,22099.0,21971.0,-128.0,-0.5792117290375131,-1139.0,-4.9286023366508
Cayey,48096.0,47598.0,47094.0,46581.0,45880.0,45167.0,44453.0,43477.0,41845.0,41895.0,41593.0,41316.0,40774.0,40513.0,40389.0,-124.0,-0.30607459334040926,-1204.0,-2.8947178611785636
Ceiba,13626.0,13425.0,13218.0,13057.0,12795.0,12540.0,12276.0,11961.0,11480.0,11427.0,11284.0,11147.0,10923.0,10840.0,10783.0,-57.0,-0.525830258302583,-501.0,-4.439914923785891
Ciales,18786.0,18631.0,18500.0,18405.0,18248.0,18044.0,17840.0,17539.0,16974.0,17051.0,16975.0,16939.0,16729.0,16684.0,16698.0,14.0,0.0839127307600096,-277.0,-1.6318114874815906
Cidra,43530.0,43402.0,43200.0,43070.0,42662.0,42219.0,41784.0,41094.0,39789.0,40043.0,39960.0,39905.0,39482.0,39390.0,39478.0,88.0,0.2234069560802234,-482.0,-1.2062062062062062
Coamo,40483.0,40103.0,39627.0,39198.0,38572.0,37920.0,37147.0,36250.0,34757.0,34867.0,34604.0,34351.0,33875.0,33644.0,33514.0,-130.0,-0.38639876352395675,-1090.0,-3.1499248641775517
Comerío,20798.0,20668.0,20566.0,20498.0,20333.0,20124.0,19844.0,19502.0,18820.0,18944.0,18868.0,18861.0,18618.0,18595.0,18613.0,18.0,0.09680021511158914,-255.0,-1.3514945940216239
Corozal,37191.0,37091.0,36970.0,36855.0,36584.0,36266.0,35907.0,35371.0,34293.0,34614.0,34551.0,34580.0,34293.0,34318.0,34476.0,158.0,0.46039979019756394,-75.0,-0.21707041764348353
Culebra,1822.0,1822.0,1830.0,1839.0,1845.0,1848.0,1840.0,1824.0,1776.0,1785.0,1790.0,1783.0,1769.0,1762.0,1759.0,-3.0,-0.170261066969353,-31.0,-1.7318435754189943
Dorado,38233.0,38243.0,38180.0,38173.0,37984.0,37677.0,37305.0,36721.0,35573.0,35937.0,35902.0,35936.0,35646.0,35699.0,35867.0,168.0,0.47060141740665007,-35.0,-0.09748760514734556
Fajardo,36952.0,36610.0,36210.0,35844.0,35247.0,34688.0,34111.0,33408.0,32237.0,32313.0,32087.0,31812.0,31352.0,31149.0,31043.0,-106.0,-0.340299849112331,-1044.0,-3.2536541278399356
Florida,12696.0,12642.0,12609.0,12583.0,12515.0,12394.0,12255.0,12058.0,11660.0,11729.0,11682.0,11651.0,11485.0,11418.0,11425.0,7.0,0.06130670870555263,-257.0,-2.1999657592877933
Guánica,19343.0,18808.0,18323.0,17808.0,17241.0,16660.0,16024.0,15372.0,14427.0,14129.0,13686.0,13273.0,12790.0,12408.0,12117.0,-291.0,-2.3452611218568666,-1569.0,-11.464270056992547
Guayama,45212.0,44109.0,43671.0,43053.0,42176.0,41289.0,40356.0,39225.0,37170.0,37073.0,36472.0,35625.0,35252.0,34753.0,34386.0,-367.0,-1.0560239403792477,-2086.0,-5.719456021057249
Guayanilla,21532.0,21228.0,20911.0,20626.0,20217.0,19774.0,19346.0,18798.0,18022.0,17965.0,17738.0,17478.0,17060.0,16801.0,16628.0,-173.0,-1.0297006130587465,-1110.0,-6.25775171947232
Guaynabo,97959.0,97454.0,96810.0,96304.0,95270.0,94402.0,93376.0,91928.0,89287.0,89920.0,89758.0,89721.0,89011.0,88995.0,89405.0,410.0,0.4607000393280521,-353.0,-0.3932797076583703
Gurabo,45393.0,45200.0,44938.0,44689.0,44176.0,43644.0,42966.0,42119.0,40500.0,40801.0,40588.0,40500.0,40052.0,39959.0,40039.0,80.0,0.2002052103405991,-549.0,-1.3526165369074603
Hatillo,41962.0,41822.0,41628.0,41508.0,41130.0,40706.0,40221.0,39540.0,38278.0,38581.0,38449.0,38379.0,37997.0,37927.0,38034.0,107.0,0.282120916497482,-415.0,-1.0793518687091992
Hormigueros,17255.0,17188.0,17075.0,16954.0,16790.0,16601.0,16400.0,16131.0,15635.0,15714.0,15618.0,15567.0,15405.0,15327.0,15290.0,-37.0,-0.24140405819795133,-328.0,-2.100140863106672
Humacao,58391.0,57862.0,57261.0,56725.0,55973.0,55126.0,54204.0,53084.0,51153.0,51201.0,50820.0,50520.0,49886.0,49659.0,49616.0,-43.0,-0.08659054753418313,-1204.0,-2.369146005509642
Isabela,45721.0,45658.0,45519.0,45428.0,45127.0,44764.0,44388.0,43711.0,42463.0,42939.0,42941.0,42985.0,42728.0,42761.0,43033.0,272.0,0.6360936367250533,92.0,0.21424745581146223
Jayuya,16666.0,16545.0,16390.0,16256.0,16088.0,15838.0,15647.0,15334.0,14778.0,14854.0,14771.0,14708.0,14488.0,14424.0,14440.0,16.0,0.11092623405435387,-331.0,-2.240877394895403
Juana Díaz,50789.0,50539.0,50271.0,50049.0,49620.0,49136.0,48608.0,47816.0,46288.0,46640.0,46498.0,46401.0,45940.0,45895.0,46045.0,150.0,0.3268329883429567,-453.0,-0.9742354509871392
Juncos,40320.0,40151.0,39978.0,39861.0,39446.0,39101.0,38703.0,38064.0,36760.0,37082.0,37031.0,36996.0,36652.0,36668.0,36796.0,128.0,0.3490782153376241,-235.0,-0.6346034403607789
Lajas,25744.0,25583.0,25468.0,25303.0,25053.0,24735.0,24416.0,24005.0,23301.0,23438.0,23278.0,23215.0,22934.0,22862.0,22888.0,26.0,0.11372583326043216,-390.0,-1.6754016668098635
Lares,30737.0,30537.0,30327.0,30181.0,29919.0,29607.0,29242.0,28822.0,27992.0,28182.0,28089.0,27982.0,27759.0,27713.0,27734.0,21.0,0.07577671129072998,-355.0,-1.2638399373420202
Las Marías,9896.0,9816.0,9748.0,9697.0,9575.0,9451.0,9346.0,9181.0,8871.0,8929.0,8856.0,8820.0,8703.0,8668.0,8674.0,6.0,0.0692201199815413,-182.0,-2.055103884372177
Las Piedras,38668.0,38537.0,38310.0,38114.0,37759.0,37336.0,36892.0,36239.0,34982.0,35272.0,35181.0,35143.0,34802.0,34739.0,34890.0,151.0,0.4346699674717177,-291.0,-0.827151019015946
Loíza,30003.0,29456.0,28886.0,28367.0,27697.0,26947.0,26264.0,25441.0,24217.0,24020.0,23607.0,23235.0,22652.0,22299.0,22047.0,-252.0,-1.1300955199784743,-1560.0,-6.608209429406532
