col_1,col_2,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,col_13,2020,2021,2022,2023,2024,"April 1, 2020 Estimates Base",Population Estimate (as of July 1) | 2020,Population Estimate (as of July 1) | 2021,Population Estimate (as of July 1) | 2022,Population Estimate (as of July 1) | 2023,Population Estimate (as of July 1) | 2024,Population Estimate (as of July 1) | Number,Population Estimate (as of July 1) | Percent,Population Estimate (as of July 1) | Number__1,Population Estimate (as of July 1) | Percent__1,"Annual Change, July 1, 2023 to July 1, 2024 | Number","Annual Change, July 1, 2023 to July 1, 2024 | Percent","Cumulative Change, April 1, 2020 to July 1, 2024 | Number","Cumulative Change, April 1, 2020 to July 1, 2024 | Percent"
Puerto Rico,3726157.0,3724465.0,3693464.0,3661045.0,3631427.0,3585017.0,3535167.0,3480432.0,3410837.0,3290690.0,3302691.0,3285874.0,3281590.0,3262711.0,3220137.0,3203792.0,3203295.0,(X),(X),(X),(X),(X),(X),-497.0,-,-82579.0,-2.5,(X),(X),(X),(X)
.Adjuntas,19483.0,19492.0,19394.0,19293.0,19275.0,19127.0,18979.0,18795.0,18503.0,17928.0,18056.0,18020.0,18008.0,18026.0,17896.0,17887.0,17981.0,62,62,62,62,62,62,94.0,0.5,-39.0,-0.2,23,7,9,9
.Aguada,41959.0,41955.0,41745.0,41488.0,41263.0,40859.0,40445.0,39969.0,39260.0,38023.0,38248.0,38136.0,38109.0,38004.0,37647.0,37509.0,37523.0,26,26,26,26,26,27,14.0,-,-613.0,-1.6,37,40,41,29
.Aguadilla,60949.0,60898.0,60640.0,60172.0,59766.0,59345.0,58608.0,57739.0,56765.0,54944.0,55162.0,55101.0,55046.0,54613.0,53877.0,53592.0,53557.0,12,12,12,12,12,13,-35.0,-0.1,-1544.0,-2.8,50,47,64,49
.Aguas Buenas,28662.0,28645.0,28283.0,27959.0,27647.0,27172.0,26700.0,26146.0,25515.0,24446.0,24444.0,24223.0,24189.0,23974.0,23521.0,23260.0,23125.0,49,49,49,49,49,50,-135.0,-0.6,-1098.0,-4.5,66,66,56,62
.Aibonito,25900.0,25942.0,25877.0,25816.0,25767.0,25613.0,25470.0,25297.0,25030.0,24372.0,24626.0,24637.0,24633.0,24674.0,24537.0,24586.0,24751.0,48,48,48,48,48,46,165.0,0.7,114.0,0.5,13,4,4,4
.Añasco,29261.0,29253.0,29038.0,28747.0,28470.0,28122.0,27704.0,27271.0,26645.0,25655.0,25748.0,25596.0,25569.0,25414.0,25003.0,24796.0,24689.0,47,47,47,46,46,47,-107.0,-0.4,-907.0,-3.5,59,61,52,58
.Arecibo,96440.0,96382.0,95815.0,95286.0,95047.0,93972.0,93002.0,91825.0,90083.0,87399.0,87946.0,87754.0,87638.0,87122.0,86023.0,85579.0,85971.0,7,7,7,7,7,7,392.0,0.5,-1783.0,-2,3,12,68,35
.Arroyo,19575.0,19541.0,19272.0,18955.0,18653.0,18274.0,17858.0,17420.0,16888.0,16103.0,16040.0,15843.0,15820.0,15606.0,15273.0,15062.0,14944.0,67,67,67,69,69,69,-118.0,-0.8,-899.0,-5.7,61,70,50,71
.Barceloneta,24816.0,24800.0,24683.0,24559.0,24475.0,24303.0,24037.0,23763.0,23364.0,22555.0,22721.0,22657.0,22669.0,22630.0,22406.0,22354.0,22413.0,56,56,55,54,53,53,59.0,0.3,-244.0,-1.1,27,21,15,19
